2400
(-5.000000, -5.000000, 0.154318) (-5.000000, -5.000000, 0.154318) (0.000000, 1.000000) 
(-4.500000, -5.000000, -0.015842) (-5.000000, -5.000000, -0.015842) (0.000000, 1.000000) 
(-5.000000, -4.500000, 0.021318) (-5.000000, -5.000000, 0.021318) (0.000000, 1.000000) 
(-5.000000, -4.500000, 0.021318) (-5.000000, -5.000000, 0.021318) (0.000000, 1.000000) 
(-4.500000, -5.000000, -0.015842) (-5.000000, -5.000000, -0.015842) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-5.000000, -5.000000, 0.086873) (0.000000, 1.000000) 
(-5.000000, -4.500000, 0.021318) (-5.000000, -4.500000, 0.021318) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-5.000000, -4.500000, 0.086873) (0.000000, 1.000000) 
(-5.000000, -4.000000, -0.116902) (-5.000000, -4.500000, -0.116902) (0.000000, 1.000000) 
(-5.000000, -4.000000, -0.116902) (-5.000000, -4.500000, -0.116902) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-5.000000, -4.500000, 0.086873) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-5.000000, -4.500000, 0.168318) (0.000000, 1.000000) 
(-5.000000, -4.000000, -0.116902) (-5.000000, -4.000000, -0.116902) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-5.000000, -4.000000, 0.168318) (0.000000, 1.000000) 
(-5.000000, -3.500000, -0.226501) (-5.000000, -4.000000, -0.226501) (0.000000, 1.000000) 
(-5.000000, -3.500000, -0.226501) (-5.000000, -4.000000, -0.226501) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-5.000000, -4.000000, 0.168318) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-5.000000, -4.000000, 0.208553) (0.000000, 1.000000) 
(-5.000000, -3.500000, -0.226501) (-5.000000, -3.500000, -0.226501) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-5.000000, -3.500000, 0.208553) (0.000000, 1.000000) 
(-5.000000, -3.000000, -0.280644) (-5.000000, -3.500000, -0.280644) (0.000000, 1.000000) 
(-5.000000, -3.000000, -0.280644) (-5.000000, -3.500000, -0.280644) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-5.000000, -3.500000, 0.208553) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-5.000000, -3.500000, 0.197726) (0.000000, 1.000000) 
(-5.000000, -3.000000, -0.280644) (-5.000000, -3.000000, -0.280644) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-5.000000, -3.000000, 0.197726) (0.000000, 1.000000) 
(-5.000000, -2.500000, -0.266075) (-5.000000, -3.000000, -0.266075) (0.000000, 1.000000) 
(-5.000000, -2.500000, -0.266075) (-5.000000, -3.000000, -0.266075) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-5.000000, -3.000000, 0.197726) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-5.000000, -3.000000, 0.138490) (0.000000, 1.000000) 
(-5.000000, -2.500000, -0.266075) (-5.000000, -2.500000, -0.266075) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-5.000000, -2.500000, 0.138490) (0.000000, 1.000000) 
(-5.000000, -2.000000, -0.186362) (-5.000000, -2.500000, -0.186362) (0.000000, 1.000000) 
(-5.000000, -2.000000, -0.186362) (-5.000000, -2.500000, -0.186362) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-5.000000, -2.500000, 0.138490) (0.000000, 1.000000) 
(-4.500000, -2.000000, 0.045346) (-5.000000, -2.500000, 0.045346) (0.000000, 1.000000) 
(-5.000000, -2.000000, -0.186362) (-5.000000, -2.000000, -0.186362) (0.000000, 1.000000) 
(-4.500000, -2.000000, 0.045346) (-5.000000, -2.000000, 0.045346) (0.000000, 1.000000) 
(-5.000000, -1.500000, -0.061021) (-5.000000, -2.000000, -0.061021) (0.000000, 1.000000) 
(-5.000000, -1.500000, -0.061021) (-5.000000, -2.000000, -0.061021) (0.000000, 1.000000) 
(-4.500000, -2.000000, 0.045346) (-5.000000, -2.000000, 0.045346) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-5.000000, -2.000000, -0.058900) (0.000000, 1.000000) 
(-5.000000, -1.500000, -0.061021) (-5.000000, -1.500000, -0.061021) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-5.000000, -1.500000, -0.058900) (0.000000, 1.000000) 
(-5.000000, -1.000000, 0.079260) (-5.000000, -1.500000, 0.079260) (0.000000, 1.000000) 
(-5.000000, -1.000000, 0.079260) (-5.000000, -1.500000, 0.079260) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-5.000000, -1.500000, -0.058900) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-5.000000, -1.500000, -0.148725) (0.000000, 1.000000) 
(-5.000000, -1.000000, 0.079260) (-5.000000, -1.000000, 0.079260) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-5.000000, -1.000000, -0.148725) (0.000000, 1.000000) 
(-5.000000, -0.500000, 0.200135) (-5.000000, -1.000000, 0.200135) (0.000000, 1.000000) 
(-5.000000, -0.500000, 0.200135) (-5.000000, -1.000000, 0.200135) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-5.000000, -1.000000, -0.148725) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-5.000000, -1.000000, -0.202137) (0.000000, 1.000000) 
(-5.000000, -0.500000, 0.200135) (-5.000000, -0.500000, 0.200135) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-5.000000, -0.500000, -0.202137) (0.000000, 1.000000) 
(-5.000000, 0.000000, 0.272011) (-5.000000, -0.500000, 0.272011) (0.000000, 1.000000) 
(-5.000000, 0.000000, 0.272011) (-5.000000, -0.500000, 0.272011) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-5.000000, -0.500000, -0.202137) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-5.000000, -0.500000, -0.206059) (0.000000, 1.000000) 
(-5.000000, 0.000000, 0.272011) (-5.000000, 0.000000, 0.272011) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-5.000000, 0.000000, -0.206059) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.000000, 0.277288) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.000000, 0.277288) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-5.000000, 0.000000, -0.206059) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-5.000000, 0.000000, -0.159531) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.500000, 0.277288) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-5.000000, 0.500000, -0.159531) (0.000000, 1.000000) 
(-5.000000, 1.000000, 0.214676) (-5.000000, 0.500000, 0.214676) (0.000000, 1.000000) 
(-5.000000, 1.000000, 0.214676) (-5.000000, 0.500000, 0.214676) (0.000000, 1.000000) 
