5400
         (-15.00, -15.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
         (-14.00, -15.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -14.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-15.00, -14.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, -15.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -14.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -13.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-15.00, -13.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -13.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -12.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-15.00, -12.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -12.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -11.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-15.00, -11.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -11.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -11.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, -11.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -10.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-15.00, -10.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -11.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -10.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -10.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -10.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -9.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-15.00, -9.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -10.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -9.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -9.00, -0.14) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -9.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -8.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-15.00, -8.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, -9.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -8.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -8.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, -8.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -7.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
         (-15.00, -7.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
         (-14.00, -8.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -7.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -7.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
         (-14.00, -7.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -6.00, -0.24) (0.10, 0.38, 0.38) (0.00, 0.00) 
         (-15.00, -6.00, -0.24) (0.10, 0.38, 0.38) (0.00, 0.00) 
         (-14.00, -7.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, -6.00, -0.24) (0.10, 0.38, 0.38) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, -5.00, -0.35) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-15.00, -5.00, -0.35) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -5.00, -0.35) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -4.00, -0.31) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-15.00, -4.00, -0.31) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -4.00, -0.31) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -3.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, -3.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, -3.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
